CRASH_CARRIER_ID	CRASH_ID	CARRIER_SOURCE_CODE	CRASH_CARRIER_NAME	CRASH_CARRIER_STREET	CRASH_CARRIER_CITY	CRASH_CARRIER_CITY_CODE	CRASH_CARRIER_STATE	CRASH_CARRIER_ZIP_CODE	CRASH_COLONIA	PREFIX	DOCKET_NUMBER	CRASH_CARRIER_INTERSTATE	NO_ID_FLAG	STATE_NUMBER	STATE_ISSUING_NUMBER
3731703	3731706		MILLER PIPELINE LLC	8850 CRAWFORDSVILLE RD	INDIANAPOLIS		IN	46234-4331				Y	0		
3731704	3731707		RHODES INVESTMENT GROUP LLC	3113 CREGLER DR	APEX		NC	27502-4485				N	0		
3731705	3731708		BLACKS TIRE SERVICE	1615 S MADISON ST	WHITEVILLE		NC	28472-4973				N	0		
3731707	3731710		CUMBERLAND COUNTY HOSPITAL SYSTEM INC	1638 OWEN DR	FAYETTEVILLE		NC	28304-3424				X	0		
3731708	3731711		RENEGADE TOWING SERVICE	5308 NEUSE FOREST RD	RALEIGH		NC	27616-8020				N	0		
3731709	3731712		NORTH STONEYVIEW VOL FIRE DEPT.	115 DESHAZO MILL RD	STONEVILLE		NC	27048-7877				X	0		
3731710	3731713		REPUBLIC SERVICES OF NORTH CAROLINA LLC	2875 LOWERY ST	WINSTON SALEM		NC	27101-6127				N	0		
3731711	3731714		WASTE CONNECTION OF NC INC	5516 ROZZELLES FERRY RD	CHARLOTTE		NC	28214-1871				N	0		
3731712	3731715		GARDA CL EAST INC	4300A NORTHLAKE CT # 200	CHARLOTTE		NC	28216-2375				N	0		
3731713	3731716		SHARP TRANSIT LLC	1355 LONG FERRY RD	SALISBURY		NC	28146-9463				N	0		
3731714	3731717		LITTLE BRASSTOWN BAPTIST CHURCH	PO BOX 12	BRASSTOWN		NC	28902-0012				N	0		
3731715	3731718		CARDINAL CONSTRUCTION SERVICES N	2406 MEDWAY DR	RALEIGH		NC	27608-1613				N	0		
3731716	3731719		PERFORMANCE FIRE PROTECTION LLC	179 GASOLINE ALY STE 105	MOORESVILLE		NC	28117-6534				N	0		
3731717	3731720		COUNTY OF WAKE	401 CAPITAL BLVD	RALEIGH		NC	27603-1315				X	0		
3731718	3731721		EARL CHAMBERS WRECKER SERVICE INC	6409 AMSTERDAM WAY # B-5	WILMINGTON		NC	28405-4490				N	0		
3731332	3731335		CROSBY TRUCKING SERVICE INC	270 KEEZLETOWN ROAD	MT SIDNEY		VA	24467			142823	Y	0		
3731333	3731336		TUXIS-OHR'S	80 BRITANNIA STREET	MERIDEN		CT	06450-0953				N	0		
3731383	3731386		INDIVIDUAL	UNKNOWN	UNKNOWN		UK	99999				X	0		
3731384	3731387		RSU#3	84 School Street	Unity		ME	04988				N	1	S00000011140	ME
3731385	3731388		A1A TRANSPORT INC	266 WALNUT ST	AGAWAM		MA	01001			884321	Y	0		
3731386	3731389		OKAMI LOGISTICS LLC	368 JEFFRIES STREET # 2	PERTH AMBOY		NJ	08861			983266	Y	0		
3731387	3731390		TOWN OF FREEPORT	HWY DEPT. MAIN ST.	FREEPORT		ME	04032				X	0	S00000001033	ME
3731388	3731391		MACOMBER TRANS INC	181 LEWISTON RD	WEST GARDINER		ME	04345			128541	Y	1		
3731389	3731392		E J CARRIER INC	8 LONG POND ROAD	JACKMAN		ME	04945			362674	Y	0		
3731390	3731393		RSU 9	108 LEARNING LANE	FARMINGTON		ME	04938				N	0	S00000009596	ME
3731391	3731394		GRD TRANSPORT	77 STATION RD	ASHLAND		ME	04732			283689	Y	0		
3731257	3731260		MCLELLAN TREE SERVICE INC	131 MINE RD	BRISTOL		CT	06010				N	0		
3731258	3731261		GREEN ACRES LANDSCAPE DESIGN LLC	5 DUSTY LANE UNIT 3	NEWTOWN		CT	06470				N	0		
3731259	3731262		JOSEPH J LUCIA / TORRINGTON 4 WHEEL AND JOSEPH LUCIA DBA	88 BRIGHTWOOD  AVENUE	TORRINGTON		CT	06790-5007				Y	0		
3731260	3731263		BROWN BEAR TRANSPORTATION LLC	237 ALBANY ST	SPRINGFIELD		MA	01105			983305	Y	0		
3731261	3731264		CABINET SPECIALTIES LLC	38 NEAL CT	PLAINVILLE		CT	06062				Y	0		
3731268	3731271		The Village for Families and Childcare	331 Wethersfield Avenue	Hartford		CT	06114				N	0		
3731269	3731272		MILLER TRUCK LEASING	1824 ROUTE 38	LUMBERTON		NJ	08048				Y	0		
3731270	3731273		ACES	60 UNITED DRIVE	NORTH HAVEN		CT	06473				Y	0		
3731271	3731274		MILFORD BARREL CO INC	100 WARWICK ST	NEW HAVEN		CT	06513-4642				Y	0		
3731272	3731275		USA HAULING & RECYCLING	16 SHOHAM RD	EAST WINDSOR		CT	06082				Y	0		
3731578	3731581		ANL EXPRESS INC	9962 BROOK RD SUITE 668	GLEN ALLEN		VA	23059			718147	Y	0		
3731580	3731583		SWIFT TRANSPORTATION CO OF ARIZONA LLC	2200 S 75TH AVE	PHOENIX		AZ	85043			136818	Y	0		
3731581	3731584		ALFREDO TRUCKING INC	8900 CORRIDOR RD	ANNAPOLIS JUNCTION		MD	20701			756350	Y	0		
3731582	3731585		MILLIS TRANSFER INC	121 GEBHARDT RD	BLACK RIVER FALLS		WI	54615-4384			111310	Y	0		
3731584	3731587		SCARBOROUGH FREIGHT & TRANSPORTATION SYSTEMS INC	7900 SUDLEY RD SUITE 805	MANASSAS		VA	20109			409859	Y	0		
3731589	3731592		DANIEL CARLOS	4015 E 56TH ST	MAYWOOD		CA	90270			921589	Y	0		
3731590	3731593		ABILENE MOTOR EXPRESS INC	1700 WILLIS RD	RICHMOND		VA	23237			194957	Y	0		
3731591	3731594		KNIGHT REFRIGERATED LLC	20002 NORTH 19TH AVENUE	PHOENIX		AZ	85027			491016	Y	0		
3731592	3731595		UNFI	313 IRON HORSE WAY	PROVIDENCE		RI	02908-5637			308546	Y	0		
3731593	3731596		ASSOCIATED LOGISTICS LLC	PO BOX 6	PARKSLEY		VA	23421				Y	0		
3731594	3731597		UNITED PARCEL SERVICE INC	55 GLENLAKE PKY NE	ATLANTA		GA	30328-3474			115495	Y	0		
3731596	3731599		FRESTA VALLEY CHRISTAIN SCHOOL	6428 WILSON ROAD	MARSHALL		VA	20115				N	0		
3731597	3731600		FAUQUIER COUNTY PUBLIC SCHOOLS	92 MANOR CT	WARRENTON		VA	20187				X	0		
3731598	3731601		THOMPSON TRUCKING INC	11939 RICHMOND HWY	CONCORD		VA	24538-0969			193988	Y	0		
3731599	3731602		BLACKSBURG BT	90003 PO BOX	CHRISTIANSBURG		VA	24073				X	0		
3731600	3731603		COX TRANSPORTATION SERVICES INC	10448 DOW-GIL ROAD	ASHLAND		VA	23005			161985	Y	0		
3731601	3731604		E AND S LOGGING	PO BOX 371	CREWE		VA	23930				N	0		
3731602	3731605		TRANSPORTATION INC AGENT GROUP INC	870 S 300 W	HEBER CITY		UT	84032			721277	Y	0		
3731603	3731606		UNIVERSITY CORP	3789 GROVEPORT ROAD	COLUMBUS		OH	43207			148562	Y	0		
3731604	3731607		JONES MOTOR CO INC	654 ENTERPRISE DRIVE	LIMERICK		PA	19468			4963	Y	0		
3731605	3731608		B&C ANDERSON TRUCKING LLC	4411 WINWOOD LANE	BUMPASS		VA	23024			422216	Y	0		
3731606	3731609		PALOMINO TRUCKING INC	747 CAMPBELL WAY	HERNDON		VA	22070				N	0		
3731607	3731610		RICH PRODUCTS CORPORATION	ONE ROBERT RICH WAY	BUFFALO		NY	14213				Y	0		
3731608	3731611		RESTON LIMOUSINE	45685 ELMWOOD CT	STERLING		VA	20166			273787	Y	0		
3731609	3731612		TAPSCOTT BROTHERS TRUCKING INC	54 ROLLING ROAD S	SCOTTSVILLE		VA	24590				Y	0		
3731610	3731613		BRUCE JENKINS	2331 ELLY RD	ARODA		VA	22709-1020				N	0		
3731611	3731614		DUPRE LOGISTICS LLC	201 ENERGY PARKWAY SUITE 500	LAFAYETTE		LA	70508			158069	Y	0		
3731612	3731615		HENRICO COUNTY	10301 WOODMAN RD	HENRICO		VA	23060				X	0		
3731613	3731616		CRUZ TRUCKING LLC	13309 NASSAU DR	WOODBRIDGE		VA	22193				Y	0		
3731614	3731617		SPIVEY DISPOSAL LLC	228 SALTERS CREEK RD	HAMPTON		VA	23661				N	0		
3731615	3731618		J B HUNT	615 J B HUNT CORPORATE DRIVE	LOWELL		AR	72745			135797	Y	0		
3731319	3731322		JED TRUCKING & WAREHOUSING INC	25 RIDGE ROAD	WHITEHOUSE STATION		NJ	08889			478604	Y	0		
3731320	3731323		G & D ADVANCE TRANSPORT CORP	95 E CLIFTON AVE	CLIFTON		NJ	07011			890070	Y	0		
3731321	3731324		MIDLAND TRANSPORT LIMITED	100 MIDLAND DRIVE	DIEPPE		NB	E1A 6X4			12136	Y	0		
3731322	3731325		D I S TRUCKING LLC	726 ROOSEVELT AVE	CARTERET		NJ	07008			45792	Y	0		
3731323	3731326		ECS TRANSPORTATION LLC	24 NEW FIELD ST	NORWALK		CT	06850			430287	Y	0		
3731324	3731327		PRESTIGE EXPRESS TRUCKING INC	307 MYRTLE ST	HAWORTH		NJ	07641			876257	Y	0		
3731325	3731328		NAVARRO TRUCKING LLC	780 JAMES P CASEY RD	BRISTOL		CT	06010			632823	Y	0		
3731326	3731329		KAYEM FOOD INC	75 ARLINGTON ST	CHELSEA		MA	02150			245328	Y	0		
3731327	3731330		AQUILA THE EAGLE EXPRESS LLC	185 MEMORIAL DRIVE	SHREWSBURY		MA	01545			520973	Y	0		
3731328	3731331		PETRO INC	1000 WOODBURY ROAD	WOODBURY		NY	11797				Y	0		
3731329	3731332		NFI TRANSPORTATION	1515 BURNT MILL ROAD	CHERRY HILL		NJ	08003			840311	Y	0		
3731330	3731333		OPULUX GLASS INC	905 MURRAY RD	EAST HANOVER		NJ	07936-2200			43567	Y	0		
3731331	3731334		WERNER ENTERPRISES INC	14507 FRONTIER ROAD	OMAHA		NE	68138			138328	Y	0		
3731440	3731443		A ZEE TRANSPORT INC	136 MEDICI LANE	HAMILTON		ON	L9B 0G7			901834	Y	0		
3731441	3731444		DURHAM SCHOOL SERVICES	2601 NAVISTAR DRIVE	LISLE		IL	60532			163066	Y	0		
3731442	3731445		DELANEY WORLDWIDE INC	7045 INTERSTATE ISLAND RD	SYRACUSE		NY	13209			162076	Y	0		
3731443	3731446		DURHAM SCHOOL SERVICES	2601 NAVISTAR DRIVE	LISLE		IL	60532			163066	Y	0		
3731445	3731448		NYS DOT	50 WOLF RD POD 5-2	ALBANY		NY	12232				X	0	S00000950227	NY
3731446	3731449		AUSCOR TRANSPORTATION SERVICES	50 EMERALD LANE	OLD BRIDGE		NJ	08857			314716	Y	0		
3731616	3731619		COUNTRYLINE INC	335 TURNER CREEK RD	AMHERST		VA	24521			717169	Y	0		
3731617	3731620		BURLEIGH CONSTRUCTION CO INC	7610 VILLAGE HIGHWAY	CONCORD		VA	24538-0080				Y	0		
3731618	3731621		EVANS DELIVERY COMPANY INC	P O BOX 268	POTTSVILLE		PA	17901			57591	Y	0		
3731619	3731622		CAMPBELL COUNTY PUBLIC SCHOOL	PO BOX 99	RUSTBURG		VA	24588				X	0		
3731620	3731623		BOYD BROS TRANSPORTATION INC	3275 HWY 30	CLAYTON		AL	36016-0040			126305	Y	0		
3731622	3731625		HALL DRILLING LLC	1137 E WASHINGTON AVENUE	ELLENBORO		WV	26346			912900	Y	0		
3731623	3731626		US XPRESS	4080 JENKINS ROAD	CHATTANOOGA		TN	37421			188121	Y	0		
3731624	3731627		DETTINBURN TRANSPORT INC	261 GERMANY VALLEY LIMESTONE RD	RIVERTON		WV	26814			126320	Y	0		
3731625	3731628		UPS	55 GLENLAKE PKY NE	ATLANTA		GA	30328-3474			115495	Y	0		
3731626	3731629		J F ALLEN COMPANY	2133 OLD WESTON ROAD	BUCKHANNON		WV	26201				Y	0		
3731627	3731630		SCHNEIDER NATIONAL BULK CARRIERS INC	3101 SOUTH PACKERLAND DRIVE	GREEN BAY		WI	54313-6187			143594	Y	0		
3731628	3731631		TTS LOGISTICS LLC	4628 CROSSROADS INDUSTRIAL DR	BRIDGETON		MO	63044			657151	Y	0		
3731629	3731632		5D EXPRESS INC	22168 HIGHWAY 2	KEOSAUQUA		IA	52565			488737	Y	0		
3731630	3731633		ASAP EXPRESS & LOGISTICS INC	28825 HIGHLAND BLDG 7	ROMULUS		MI	48174			294386	Y	0		
3731631	3731634		PITT OHIO EXPRESS	15 27TH STREET	PITTSBURGH		PA	15222			30136	Y	0		
3731632	3731635		BERKELEY COUNTY SCHOOLS	88 HARLAN SPRINGS ROAD	MARTINSBURG		WV	25401				X	0		
3731633	3731636		HAZMAT ENVIRONMENTAL GROUP INC	60 COMMERCE DRIVE	BUFFALO		NY	14218			202347	Y	0		
3731634	3731637		QUALITY TRUCKLINE INC	2109 E TAMI CT	FOWLER		CA	93625			973690	Y	0		
3731635	3731638		SCORPION TRUCKING LLC	949 WOODLEY GREEN LANE	CAVE SPRINGS		AR	72718			750755	Y	0		
3731636	3731639		SNIDER & SON LLC	14991 GOLDFINCH RD	NEOSHO		MO	64850			882374	Y	0		
3731637	3731640		UNITED TRANSPORT INC	3640 179TH ST	HAMMOND		IN	46323			643998	Y	0		
3731638	3731641		V&S EXPRESS LLC	719 SEDGEFIELD DRIVE	BRYANT		AR	72022				N	0	S00000025785	AR
3731639	3731642		RICH LOGISTICS	6011 SCOTT HAMILTON DRIVE	LITTLE ROCK		AR	72209			311647	Y	0		
3731640	3731643		B & C LOGGING	2316 US HWY 67	PRESCOTT		AR	71857				N	0	S00000021642	AR
3731641	3731644		JONIO WOOD CO	329 BRADLEY 27 NORTH	WARREN		AR	71671				Y	0		
3731642	3731645		EXPORT GRAIN CORP	1155 HWY 165 W	ENGLAND		AR	72046			320083	Y	0		
3731643	3731646		ANDERS TRUCKING INC	1510 LOWERY DR	EL DORADO		AR	71730-8341			598643	N	0		
3731644	3731647		IRVING MATERIALS INC	8032 N STATE ROAD 9	GREENFIELD		IN	46140				Y	0		
3731645	3731648		DONALD ROGERS WRECKER	183 NORTH PINALTO RD	SPRINGDALE		AR	72762			301893	Y	0		
3731646	3731649		CONTAINERPORT GROUP INC	1340 DEPOT STREET	CLEVELAND		OH	44116			152125	Y	0		
3731647	3731650		ARS LOGISTICS LLC	24 N D ST	FORT SMITH		AR	72901			997932	Y	0		
3731648	3731651		MAVERICK TRANSPORTATION LLC	13301 VALENTINE ROAD	NORTH LITTLE ROCK		AR	72117			150231	Y	0		
3731649	3731652		BENNIE A GASKIN HAULING INC	21 MONTGOMERY STREET	ASHEVILLE		NC	28806			828115	Y	0		
3731650	3731653		DCM TRANSPORT INC	1745 SOUTH HENDERSON STREET	GALESBURG		IL	61401-5792			282116	Y	0		
3731651	3731654		UNITED TRANSPORT GROUP INC	2158 45TH ST UNIT 128	HIGHLAND		IN	46322			24192	Y	0		
3731652	3731655		ALL-STATE EXPRESS INC	121-I SHIELDS PARK DR	KERNERSVILLE		NC	27284			356772	Y	0		
3731653	3731656		MERCER TRANSPORTATION CO	1128 W MAIN ST	LOUISVILLE		KY	40203			143059	Y	0		
3731654	3731657		US XPRESS	4080 JENKINS ROAD	CHATTANOOGA		TN	37421			188121	Y	0		
3731655	3731658		KENTON COUNTY SCHOOLS	1055 EATON DRIVE	FORT WRIGHT		KY	41011				X	0		
3731657	3731660		CRANE CARTAGE FREIGHT SERVICES	1500 RANKIN ROAD STE 400	HOUSTON		TX	77073			676488	Y	0		
3731658	3731661		TOMBIGBEE ELECTRIC POWER ASSOCIATION	1346 AUBURN RD	TUPELO		MS	38804				X	0		
3731282	3731285		H C ROHDE OIL CO INC	380 MAIN STREET	WETHERSFIELD		CT	06109				N	0		
3731283	3731286		MIDSTATE TRACTOR & EQUIPMENT COMPANY	562 S MAIN ST	MIDDLETOWN		CT	06457				N	0		
3731284	3731287		ALPHA POOLS LLC	43 1/2 Glasser Street	Norwak		CT	06857				N	0		
3731285	3731288		O&G INDUSTRIES-TUTOR PERINI CORPORATION JV	112 WALL STREET	TORRINGTON		CT	06790				N	0		
3731286	3731289		BEACON OIL	12 MECHANICSVILLE RD	GRANBY		CT	06035				Y	0		
3731287	3731290		THE NEW BRITAIN TRANSPORTATION COMPANY	257 WOODLAWN RD	BERLIN		CT	06037			541	Y	0		
3731288	3731291		UNITED PARCEL SERVICE INC	55 GLENLAKE PKY NE	ATLANTA		GA	30328-3474			115495	Y	0		
3731289	3731292		FEDEX EXPRESS	3670 HACKS CROSS RD BLDG G 2ND FL	MEMPHIS		TN	38125-8800			66562	Y	0		
3731290	3731293		CITY CARTING INC	8 VIADUCT ROAD	STAMFORD		CT	06907-7250				Y	0		
3731291	3731294		LPD TRANSPORTER LLC	10105 W PATRICK LANE	PEORIA		AZ	85383			654337	Y	0		
3731292	3731295		LAM TRUCKING	74 FANEUIL ST	WINDSOR		CT	06095			705898	Y	0		
3731293	3731296		GREATER BRIDGEPORT TRANSIT	1 Cross St	Bridgeport		CT	06610				X	0		
3731294	3731297		TRUSS ENGINEERING CORPORATION	181 GOODWIN ST	INDIAN ORCHARD		MA	01151-2112				Y	0		
3731295	3731298		ABEX TRANSPORTATION LLC	230 MEADOW ROAD	READVILLE		MA	02136			647143	Y	0		
3731296	3731299		DROCK TRUCKING INC	59 STONE ROAD	DAYVILLE		CT	06241			341839	Y	0		
3731297	3731300		GIANT TRANSPORT INC	817 60TH STREET 2ND FLOOR	BROOKLYN		NY	11220			814155	Y	0		
3731298	3731301		MITLITSKY EGGS LLC	74 CARD ST	LEBANON		CT	06249-0028				Y	0		
3731299	3731302		E W WYLIE CORPORATION	1520 2ND AVE NW	WEST FARGO		ND	58078			144926	Y	0		
3731300	3731303		NATURAL TRUCK CARRIERS INC	887 W 77TH ST	HIALEAH		FL	33014			822426	Y	0		
3731301	3731304		WINDHAM PEPSI COLA BOTTLING CO INC	135 LOUISA VIEWS DRIVE	DAYVILLE		CT	06241				Y	0		
3731302	3731305		PRIME INC	2740 N MAYFAIR AVENUE	SPRINGFIELD		MO	65803			140665	Y	0		
3731303	3731306		DAMASCENOS LANDSCAPES & CONST LLC	6 CALI DRIVE	SHELTON		CT	06484				Y	0		
3731304	3731307		FANCY FOOD LOGISTICS LLC	11 COLONIAL DRIVE	PISCATAWAY		NJ	08854			921308	Y	0		
3731305	3731308		WERNER ENTERPRISES INC	14507 FRONTIER ROAD	OMAHA		NE	68138			138328	Y	0		
3731306	3731309		CHERRY HILL CONST INC	51 CIRO ROAD	NORTH BRANFORD		CT	06471-1521				N	0		
3731307	3731310		EMPIRE TIRE OF EDGEWATER II LLC	1414 NORWICH ROAD	PLAINFIELD		CT	06374				Y	0		
3731308	3731311		METRO-NORTH RAILROAD	420 LEXINGTON AVE	NEW YORK		NY	10170				Y	0		
3731309	3731312		DANIEL EXPRESS LLC	254 BRADLEY AVE	BERGENFIELD		NJ	07621			716121	Y	0		
3731310	3731313		HUDSON RPM DISTRIBUTORS LLC	8 COTTON ROAD	NASHUA		NH	03063				Y	0		
3731311	3731314		NEW IMAGE AUTO TRANSPORT LLC	14 PUTNAM PL	PLANTSVILLE		CT	06479			775769	Y	0		
3731312	3731315		MAHADEV TRANSPORT	3390 COUNTRY VILLAGE RD UNIT 3109	RIVERSIDE		CA	92509			50118	Y	0		
3731313	3731316		SUMTER UTILITIES INC	1151 N PIKE WEST	SUMTER		SC	29153				Y	0		
3731314	3731317		WERNER ENTERPRISES INC	14507 FRONTIER ROAD	OMAHA		NE	68138			138328	Y	0		
3731315	3731318		THE GOLUB CORPORATION	501 DUANESBURG RD	SCHENECTADY		NY	12306			488246	Y	0		
3731316	3731319		INTERSTATE CARGO CARRIERS LLC	277 GREENWOOD DR	CLIFFWOOD BEACH		NJ	07735			677662	Y	0		
3731317	3731320		TORRINGTON SUPPLY COMPANY INCORPORATED	100 NORTH ELM STREET	WATERBURY		CT	06702				Y	0		
3731318	3731321		GREEN ISLAND DISTRIBUTORS INC	730 W MAIN STREET	RIVERHEAD		NY	11901				Y	0		
3720054	3720057		FLORIDA BEAUTY EXPRESS INC	3100 NW 74TH AVE 2ND FLOOR	MIAMI		FL	33122			453152	Y	0		
3720055	3720058		BROTHERS TRANSPORT LLC	201 MCPEEK PL	NICHOLASVILLE		KY	40356			742283	Y	0		
3720056	3720059		THE EXPEDITING CO INC	1295 SOUTH BROWN SCHOOL ROAD	VANDALIA		OH	45377			219871	Y	0		
3720057	3720060		UPS	55 GLENLAKE PKY NE	ATLANTA		GA	30328-3474			115495	Y	0		
3720058	3720061		TRANSAM	15910 SOUTH 169 HIGHWAY	OLATHE		KS	66062			197897	Y	0		
3720059	3720062		BAARTS TRUCKING INC	314 SOUTH JUDSON STREET	NORTHROP		MN	56075-0085			148797	Y	0		
3720060	3720063		WYKOFF BROS FARMS INC	8268 E US 20	NEW CARLISLE		IN	46552				N	0		
3720061	3720064		MS TRANSPORT LLC	5950 SOUTH BELMONT AVE	INDIANAPOLIS		IN	46217				N	0		
3720062	3720065		BOBBY DEAN VANDEVENTER	RR 6 BOX 342	BLOOMFEILD		IN	47424				N	0		
3720063	3720066		LEEP'S SUPPLY CO INC	8001 TYLER ST	MERRILLVILLE		IN	46410-4701				Y	0		
3720064	3720067		ORGIL AUTO TRANSPORT INC	3011 LEXINGTON LN	GLENVIEW		IL	60026			781032	Y	0		
3720065	3720068		ON TRACK TRANSPORTATION OF IL INC	818 NORTH LA FOX STREET	SOUTH ELGIN		IL	60177			402561	Y	0		
3720066	3720069		DEPARTMENT OF ADMINISTRATION	601 WEST MCCARTY STREET SUITE 125	INDIANAPOLIS		IN	46225				X	0		
3720112	3720115		ESTES EXPRESS LINES	PO BOX 25612	RICHMOND		VA	23260				Y	0		
3720114	3720117		1605692 ONTARIO INC	1976 ROUTE 600	ST ALBERT		ON	K0A 3C0				Y	0		
3720115	3720118		JIM'S ROAD SERVICE LLC	P O BOX 2050	MONROE		MI	48161				Y	0		
3720116	3720119		LOOMIS ARMORED US LLC	2500 CITY WEST BLVD SUITE 2300	HOUSTON		TX	77042				Y	0		
3720117	3720120		NEW PRIME INC	PO BOX 4208	SPRINGFIELD		MO	65808				Y	0		
3720118	3720121		K L BREEDEN & SONS LLC	104 WEST HIGH ST	TERRELL		TX	75160				Y	0		
3720119	3720122		NEW PRIME INC	PO BOX 4208	SPRINGFIELD		MO	65808				Y	0		
3720120	3720123		GRANT QUAM	9335 480TH STREET	KENYON		MN	55946			251106	N	0		
3720121	3720124		B&D PLUMBING HEATING & AIR CONDITIONING INC	4091 MACIVER AVE NE	SAINT MICHAEL		MN	55376				N	0		
3720122	3720125		D & A TRUCK LINE INC	926 N FRONT ST	NEW ULM		MN	56073-3428			147545	Y	0		
3720123	3720126		PERISHABLE DISTRIBUTORS OF IOWA LTD	2741 PDI PL	ANKENY		IA	50021			213495	Y	0		
3720124	3720127		SEARCY TRUCKING LTD	1470 CHEVRIER BOULEVARD	WINNIPEG		MB	R3T 1Y6			215556	Y	0		
3720125	3720128		HARPERS HOT SHOT TRUCKING	1486 COX LN	WICHITA FALLS		TX	76305			702952	Y	0		
3720126	3720129		TRAILER TRANSFER	46130 STATE HWY 28	MORRIS		MN	56267			264048	Y	0		
3719963	3719966		DONALD SNYDER LOGGING COMPANY LLC	528 ALLENS FALLS ROAD	POTSDAM		NY	13676				Y	0		
3719964	3719967		BIG WRENCH INTERSTATE LLC	1396 SE 18TH TER	HOMESTEAD		FL	33035			901551	Y	0		
3719965	3719968		LEON KAR TRUCKING CORP	2007 CLINTON AVE	BRONX		NY	10457-3632				Y	0		
3719966	3719969		EVANS DELIVERY COMPANY INC	100-110 W COLUMBIA ST	SCHUYLKILL HAVEN		PA	17972			57591	Y	0		
3719967	3719970		EISS BROTHERS INC	28250 STATE ROUTE 37	WATERTOWN		NY	13601				N	0		
3719968	3719971		ROAD SCHOLAR TRANSPORTATION LLC	130 MONAHAN AVENUE	DUNMORE		PA	18512			516228	Y	0		
3719969	3719972		WASTE SERVICES INC	1 RADISSON PLAZA	NEW ROCHELLE		NY	10801				N	0		
3719970	3719973		FIVE STAR EQUIPMENT INC	1300 DUNHAM DRIVE	DUNMORE		PA	18512-0176				Y	0		
3719971	3719974		SUNSHINE MULCH & STONE LLC	2094 STATE ROUTE  96	CLIFTON SPRINGS		NY	14432			808515	Y	0		
3719972	3719975		JUST IN TIME TOWING LLC	1 E MARKET ST UNIT 331	HYDE PARK		NY	12538-7525				N	0		
3719973	3719976		DONALD W FURGISON	17639 ARCHER RD	WATERTOWN		NY	13601				N	0		
3719976	3719979		AMERICAN TRANSPORTATION LLC	430 S FRANKLIN RD	INDIANAPOLIS		IN	46219			503173	Y	0		
3720067	3720070		VALPARAISO COMMUNITY SCHOOLS	3801 CAMPBELL ST	VALPARAISO		IN	46385				X	0		
3720068	3720071		LAWRENCE TRANSPORTATION COMPANY	1515 INDUSTRIAL DR NW	ROCHESTER		MN	55901			129591	Y	0		
3720069	3720072		1ST CLASS TRUCKING LLC	475 S SHAFFER HWY	DETROIT		MI	48217			31006	Y	0		
3720070	3720073		ORGIL AUTO TRANSPORT INC	3011 LEXINGTON LN	GLENVIEW		IL	60026			781032	Y	0		
3720071	3720074		TRANSCORP NATIONAL INC	200 NORMAN CT	DES PLAINES		IL	60016			749332	Y	0		
3720072	3720075		VENTURE LOGISTICS	1101 S HARDING COURT	INDIANAPOLIS		IN	46217			394445	Y	0		
3720073	3720076		PRIME INC	2740 N MAYFAIR AVENUE	SPRINGFIELD		MO	65803			140665	Y	0		
3720074	3720077		JAY RICH LOGISTICS LLC	777 ELTON ADELPHIA RD	FREEHOLD		NJ	07728			31282	Y	0		
3720075	3720078		SECURE LOGISTICS LLC	654 O'MALLEY DRIVE	COOPERSVILLE		MI	49404			729763	Y	0		
3720076	3720079		LOIS YODER TRUCKING LLC	11436 ROSEDALE RD	HICKSVILLE		OH	43526			844437	Y	0		
3720078	3720081		WARRICK COUNTY SCHOOLS	PO BOX 809	BOONVILLE		IN	47601				X	0		
3720090	3720093		GREAT LAKES RECOVERY&REPOSSESSIONS INC	316	ROYAL OAK		MI	48089				N	0		
3720092	3720095		TEKTRONIX INC	14150 SW KARL BRAUN DR	BEAVERTON		OR	97077				Y	0		
3720093	3720096		SOUTH SHORE TRANSPORTATION COMPANY	4010 COLUMBUS AVE	SANDUSKY		OH	44870-5720				Y	0		
3720094	3720097		DHT TRANSPORT LLC	PO BOX 375	REESE		MI	48757-0375				Y	0		
3720095	3720098		ALDEN LOGISTICS INC	18765 SEAWAY DRIVE	MELVINDALE		MI	48122				Y	0		
3720099	3720102		MARTIN TRANSPORTATION SYSTEMS INC	7300 CLYDE PARK  SW	BYRON CENTER		MI	49315-8387				Y	0		
3720100	3720103		WASTE MANAGEMENT OF MICHIGAN INC	48797 ALPHA DRIVE	WIXOM		MI	48393				Y	0		
3720101	3720104		ODELL TRUCKING INC	2084 LOU ANN LANE	WEST BRANCH		MI	48661				Y	0		
3720102	3720105		HOUSERS FURNITURE INC	P O BOX 125	PITTSFORD		MI	49271				Y	0		
3720103	3720106		COUNTRY TIME BEDDING	PO BOX 341	MORRICE		MI	48857				N	0		
3720104	3720107		RALPH MOYLE INC	PO BOX 248	MATTAWAN		MI	49071				Y	0		
3720108	3720111		CRAWFORD COUNTY TRANSPORTATION AUTHORITY	4276 N DOWN RIVER RD	GRAYLING		MI	49738				X	0		
3720110	3720113		PENSKE LOGISTICS LLC	2675 MORGANTOWN RD	READING		PA	19607				Y	0		
3720111	3720114		LAKES INC	3744 S BROOKS RD	MUSKEGON		MI	49444				Y	0		
3720014	3720017		SELDEN TRUCKING INC	115 NORTH CEDAR	SHELBY		NE	68662-0067			197725	Y	0		
